id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1367225815558221827	1367225815558221827	2021-03-03 16:30:10 Eastern Standard Time	2021-03-03	16:30:10	-0500	97295900	gbayo1	Gbenga Ayodele		Fulani northern government celebrating arrival of covid-19 vaccine with big banner! What a big low! These people should form their shamelessly backward country asap #OduduwaRepublic is here to stay and #EndNigeriaNowToSaveLives	en	[]	[]	[]	0	0	0	['oduduwarepublic', 'endnigerianowtosavelives']	[]	https://twitter.com/gbayo1/status/1367225815558221827	False		0		Montreal						[]				
1367223768742035458	1367165713706844161	2021-03-03 16:22:02 Eastern Standard Time	2021-03-03	16:22:02	-0500	1591361107	mlevkov	Mikhail Levkovsky		@sugarfreecat1 @michaeljknowles What study? All I’ve seen out of Israel is that the vaccine was extremely effective, nothing else. Also, after a year of covid your still going with the survival rate is 99% shtick? Do better	en	[]	[]	[]	2	0	1	[]	[]	https://twitter.com/mlevkov/status/1367223768742035458	False		0		Montreal						[{'screen_name': 'sugarfreecat1', 'name': '🌹🥀🙏Cat', 'id': '4740215237'}, {'screen_name': 'michaeljknowles', 'name': 'Michael Knowles', 'id': '31047836'}]				
1367219317826330624	1367165713706844161	2021-03-03 16:04:21 Eastern Standard Time	2021-03-03	16:04:21	-0500	1591361107	mlevkov	Mikhail Levkovsky		@michaeljknowles Okkk so obviously “debating” the merits of a vaccine on Twitter is futile. Let’s put it this way. It’s better to have less people with covid than more people with covid. Vaccines will help with that.	en	[]	[]	[]	0	0	3	[]	[]	https://twitter.com/mlevkov/status/1367219317826330624	False		0		Montreal						[{'screen_name': 'michaeljknowles', 'name': 'Michael Knowles', 'id': '31047836'}]				
1367212532172288000	1367212532172288000	2021-03-03 15:37:23 Eastern Standard Time	2021-03-03	15:37:23	-0500	1243954974226341890	covid19__canada	worried about Covid19		Canada has set aside $5B for COVID-19 vaccines, treatments  https://t.co/ivZg6AQcef  https://t.co/lSfZwctmoe The Public Health Agency of Canada expects to spend up to $5 billion on vaccines and other COVID-19 treatments. Procurement Minister Anita Anand previously said vaccines …	en	[]	['https://ift.tt/3sEg7oK', 'https://ift.tt/eA8V8J']	[]	0	0	0	[]	[]	https://twitter.com/covid19__canada/status/1367212532172288000	False		0		Montreal						[]				
1367197415686684679	1367197415686684679	2021-03-03 14:37:19 Eastern Standard Time	2021-03-03	14:37:19	-0500	505292791	trudeau_michel	Michel Trudeau		Social science and the COVID-19 vaccines  https://t.co/S3MeDnefta via @APA	en	[{'screen_name': 'apa', 'name': 'american psychological association', 'id': '493175789'}]	['https://www.apa.org/monitor/2021/03/covid-19-vaccines']	[]	0	0	0	[]	[]	https://twitter.com/trudeau_michel/status/1367197415686684679	False		0		Montreal						[]				
1367194615489695745	1367194615489695745	2021-03-03 14:26:12 Eastern Standard Time	2021-03-03	14:26:12	-0500	63177215	mtlgazette	Montreal Gazette		Trudeau 'optimistic' that timeline for rollout of COVID vaccines can be accelerated  https://t.co/z7YNLvQB1h  https://t.co/XgqnW6xeTj	en	[]	['https://montrealgazette.com/pmn/news-pmn/canada-news-pmn/first-shipment-of-astrazeneca-vaccine-arrives-amid-confusion-over-its-use-for-seniors/wcm/13426f61-0e04-4a1c-baf9-ee70e6e5bcfe?utm_medium=Social&utm_source=Twitter#Echobox=1614799200']	['https://pbs.twimg.com/media/EvlAQeTXMAcgQnG.jpg']	0	0	3	[]	[]	https://twitter.com/mtlgazette/status/1367194615489695745	False		1	https://pbs.twimg.com/media/EvlAQeTXMAcgQnG.jpg	Montreal						[]				
1367192023900553221	1367192023900553221	2021-03-03 14:15:54 Eastern Standard Time	2021-03-03	14:15:54	-0500	132541849	jamaislu	Jacques Morissette		Michiganders 50 and older with underlying health conditions or disabilities can get COVID-19 vaccines starting Monday, Gov. Gretchen Whitmer announced Wednesday.  https://t.co/QxXeajY8Qw	en	[]	['https://www.freep.com/story/news/health/2021/03/03/michigan-coronavirus-vaccine-covid-eligibility-age/6904549002/']	[]	0	0	0	[]	[]	https://twitter.com/jamaislu/status/1367192023900553221	False		0		Montreal						[]				
1367192019450408962	1367192019450408962	2021-03-03 14:15:53 Eastern Standard Time	2021-03-03	14:15:53	-0500	150501013	cathmerc	Catherine Mercier		Dolly Parton reçoit une dose du vaccin covid qu’elle a contribué à  financer / From 'Jolene' To Vaccine: Dolly Parton Gets COVID-19 Shot She Helped Fund  https://t.co/CBWLgXQv8i	fr	[]	['https://www.npr.org/sections/coronavirus-live-updates/2021/03/03/973240792/from-jolene-to-vaccine-dolly-parton-gets-covid-19-shot-she-helped-fund?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social']	[]	0	1	3	[]	[]	https://twitter.com/cathmerc/status/1367192019450408962	False		0		Montreal						[]				
1367186581593985028	1367186581593985028	2021-03-03 13:54:16 Eastern Standard Time	2021-03-03	13:54:16	-0500	157885213	ambrodextrous	Jamie		not my grandfather flirting with the nurse who gave him his covid vaccine	en	[]	[]	[]	0	0	8	[]	[]	https://twitter.com/ambrodextrous/status/1367186581593985028	False		0		Montreal						[]				
1367180674642432015	1367180674642432015	2021-03-03 13:30:48 Eastern Standard Time	2021-03-03	13:30:48	-0500	153421278	kumarpranav_	Kumar Pranav		Good to see India at the second place. US and India can provide vaccines to half of the world assuming each person needs 2 doses. #CovidVaccine #CovidFreeWorld	en	[]	[]	[]	0	0	1	['covidvaccine', 'covidfreeworld']	[]	https://twitter.com/kumarpranav_/status/1367180674642432015	False	https://twitter.com/FaheemYounus/status/1367076868000735233	0		Montreal						[]				
1367169908358922246	1367169908358922246	2021-03-03 12:48:01 Eastern Standard Time	2021-03-03	12:48:01	-0500	535829336	rougematisse	Nancy Delagrave - COVID-STOP		"""Some of these new variants are more transmissible and may be more virulent. They may also be less susceptible to some vaccines than the previously dominant lineages of the coronavirus. ""  How to Protect Yourself Against Coronavirus Variants  https://t.co/1WKlFGG5x1"	en	[]	['https://www.nytimes.com/2021/03/03/opinion/contributors/protect-against-coronavirus-variants.html?smid=tw-share']	[]	1	2	7	[]	[]	https://twitter.com/RougeMatisse/status/1367169908358922246	False		0		Montreal						[]				
1367167313326321664	1367167313326321664	2021-03-03 12:37:42 Eastern Standard Time	2021-03-03	12:37:42	-0500	1243954974226341890	covid19__canada	worried about Covid19		Chile leads the pack in Latin American vaccine campaign  https://t.co/65mRhyV3GU  https://t.co/lSfZwctmoe SANTIAGO, CHILE — On Christmas Eve, nurse Maria Paz Herreros administered Chile’s first coronavirus vaccine. In the two months since then, she’s given more than 2,000 shots …	en	[]	['https://ift.tt/3uS3p7x', 'https://ift.tt/eA8V8J']	[]	0	0	0	[]	[]	https://twitter.com/covid19__canada/status/1367167313326321664	False		0		Montreal						[]				
1367164011603722241	1367164011603722241	2021-03-03 12:24:35 Eastern Standard Time	2021-03-03	12:24:35	-0500	2147568866	ladylawyermtl	Izabel C-S		This week @drmitchmtl shares his views on the #CovidVaccine rollout, it's effectiveness &amp; whether mass vaccinations against #COVID19 should lead to fewer safety restrictions #CoronaVirusUpdate #coronavirus #wearamask #washyourhands #stayhealthy #staysafe   https://t.co/HGvI4CilPZ	en	[{'screen_name': 'drmitchmtl', 'name': 'mitch shulman', 'id': '478066011'}]	['https://globalnews.ca/video/7673823/covid-19-update-6']	[]	0	0	0	['covidvaccine', 'covid19', 'coronavirusupdate', 'coronavirus', 'wearamask', 'washyourhands', 'stayhealthy', 'staysafe']	[]	https://twitter.com/LadyLawyerMtl/status/1367164011603722241	False		0		Montreal						[]				
1367162332091138053	1367162332091138053	2021-03-03 12:17:55 Eastern Standard Time	2021-03-03	12:17:55	-0500	294053762	pensionpulse	Leo Kolivakis		World Bank's Malpass: We need more transparency on COVID-19 vaccine rollout, debt servicing  https://t.co/4EbQWL9w2H via @Yahoo	en	[{'screen_name': 'yahoo', 'name': 'yahoo', 'id': '19380829'}]	['https://finance.yahoo.com/news/world-banks-malpass-need-more-transparency-on-vaccine-rollout-debt-servicing-162549120.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr']	[]	0	0	0	[]	[]	https://twitter.com/PensionPulse/status/1367162332091138053	False		0		Montreal						[]				
1367160327494918151	1367160327494918151	2021-03-03 12:09:57 Eastern Standard Time	2021-03-03	12:09:57	-0500	140214215	periggouanvic	Perig Gouanvic		"“If zero Covid-19 is this endgame, then international travel is years away,” epidemiologists Nathan Grills and Tony Blakely wrote in the Australian Financial Review. “The vaccine could help achieve eradication, but zero Covid-19 remains a pipe dream...""  https://t.co/tXjTJGNRDd"	en	[]	['https://www.washingtonpost.com/travel/2021/02/23/australia-travel-covid-strategy/']	[]	0	0	0	[]	[]	https://twitter.com/PerigGouanvic/status/1367160327494918151	False		0		Montreal						[]				
1367147802262982666	1367147345822023682	2021-03-03 11:20:11 Eastern Standard Time	2021-03-03	11:20:11	-0500	1170005964	citynewsmtl	CityNews Montreal		#Quebec with 137 confirmed #covidvariant cases, 1,220 presumptive cases. #Montreal with 85 of the confirmed cases.  Quebec administering 16,117 #CovidVaccine doses on Tues, total 472,710 since campaign began in Dec.  March 1 tests: 28,941 samples   https://t.co/5yupqPH3eo	en	[]	['https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/']	[]	0	0	0	['quebec', 'covidvariant', 'montreal', 'covidvaccine']	[]	https://twitter.com/CityNewsMTL/status/1367147802262982666	False		0		Montreal						[]				
1367146719042031620	1366767269087502341	2021-03-03 11:15:52 Eastern Standard Time	2021-03-03	11:15:52	-0500	258652587	ellaella963	Ella		@sportycanuck @ThomasStDenis3 @yycmichaelh @mat_schmaltz @PierrePoilievre Damn Tam, why didn’t she test the vaccines before Covid?	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/ellaella963/status/1367146719042031620	False		0		Montreal						[{'screen_name': 'sportycanuck', 'name': 'Steve the smartass', 'id': '3019836678'}, {'screen_name': 'ThomasStDenis3', 'name': 'Thomas St Denis', 'id': '1350622077871665158'}, {'screen_name': 'yycmichaelh', 'name': 'Michael', 'id': '1345056696834564096'}, {'screen_name': 'mat_schmaltz', 'name': 'Mat Schmaltz', 'id': '1151883911271763969'}, {'screen_name': 'PierrePoilievre', 'name': 'pierrepoilievre', 'id': '242827267'}]				
1367141691979923457	1367141691979923457	2021-03-03 10:55:54 Eastern Standard Time	2021-03-03	10:55:54	-0500	248653644	duartemm01	Duarte M. Miranda		Benefits and risks of delaying 2nd doses of COVID-19 vaccine  https://t.co/xLbCYyZNM2	en	[]	['http://a.msn.com/01/en-ca/BB1ebHpl?ocid=st']	[]	0	0	0	[]	[]	https://twitter.com/duartemm01/status/1367141691979923457	False		0		Montreal						[]				
